PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
jgi|Lacbi1|305873|eu2.Lbscf0002g09310_120-185,223-322_1NRJ:B:	3	6	4	5	0	18	9	10	0	209
jgi|Lacbi1|330073|fgenesh3_pg.C_scaffold_25000056_40-270_1NI5:A:0-226	2	6	3	9	0	16	9	14	0	226
jgi|Lacbi1|292653|estExt_fgenesh2_pg.C_40046_4-187_1BGV:A:1-194	3	5	2	8	0	16	8	12	0	194
jgi|Lacbi1|292653|estExt_fgenesh2_pg.C_40046_180-450_1BGV:A:195-449	2	7	2	10	0	29	11	16	0	255
jgi|Lacbi1|295443|estExt_fgenesh2_pg.C_400119_32-318_2BV3:A:7-282	2	11	3	8	0	22	12	14	0	276
jgi|Lacbi1|295443|estExt_fgenesh2_pg.C_400119_514-637_2BV3:A:479-599	1	6	1	2	0	15	8	4	0	121
jgi|Lacbi1|295443|estExt_fgenesh2_pg.C_400119_286-311,343-436_2BV3:A:283-403	1	12	0	0	0	15	9	9	0	121
jgi|Lacbi1|295443|estExt_fgenesh2_pg.C_400119_440-516_1FNM:A:404-482	0	5	0	2	0	8	3	2	0	79
jgi|Lacbi1|295443|estExt_fgenesh2_pg.C_400119_639-725_2BV3:A:600-688	0	4	2	3	0	5	0	4	0	89
jgi|Lacbi1|251779|e_gww1.22.153.1_210-317_1S7B:A:	0	0	0	4	0	10	7	3	0	109
jgi|Lacbi1|191132|estExt_GeneWisePlus_worm.C_220112_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Lacbi1|191150|estExt_GeneWisePlus_worm.C_220149_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Lacbi1|291419|estExt_fgenesh2_pm.C_830001_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Lacbi1|306722|eu2.Lbscf0325g00050_3-102_1KX5:B:	0	3	1	3	0	10	6	4	0	102
jgi|Lacbi1|189769|estExt_GeneWisePlus_worm.C_70402_5-286_1VYH:C:92-408	0	28	1	0	0	39	25	14	0	317
jgi|Lacbi1|290988|estExt_fgenesh2_pm.C_60015_41-253_1AKY:A:3-130,A:169-220	0	5	1	9	0	13	6	8	1	180
jgi|Lacbi1|180652|estExt_Genewise1_worm.C_540054_28-95_1N9S:C:	0	6	2	0	0	6	4	4	0	74
jgi|Lacbi1|192627|estExt_fgenesh1_kg.C_100008_61-254_2C07:A:54-304	2	7	2	9	0	21	12	14	0	251
jgi|Lacbi1|312101|eu2.Lbscf0004g10570_16-234_1E4C:P:	3	7	3	6	0	24	7	14	0	206
jgi|Lacbi1|300832|eu2.Lbscf0001g02810_153-295_1UMK:A:154-300	0	8	4	5	0	15	10	8	0	147
jgi|Lacbi1|300832|eu2.Lbscf0001g02810_57-168_1NDH:A:3-125	2	7	0	1	0	17	9	9	0	123
jgi|Lacbi1|243679|e_gww1.1.188.1_349-446_1WF6:A:	1	4	3	3	0	15	14	3	0	131
jgi|Lacbi1|181082|estExt_GeneWisePlus_human.C_10038_79-488,523-743_1I1I:P:	5	7	6	27	0	58	30	36	0	665
jgi|Lacbi1|189049|estExt_GeneWisePlus_worm.C_50145_12-194_1VI6:A:	1	7	3	6	0	22	13	12	0	193
jgi|Lacbi1|191230|estExt_GeneWisePlus_worm.C_250120_5-299_1OKC:A:	0	0	6	11	0	19	10	9	0	292
jgi|Lacbi1|189306|estExt_GeneWisePlus_worm.C_50669_35-307_1F5N:A:7-283	4	9	4	10	0	28	18	11	0	277
jgi|Lacbi1|184088|estExt_GeneWisePlus_human.C_70359_6-122_1WGK:A:	3	4	1	3	0	16	10	4	0	113
jgi|Lacbi1|249920|e_gww1.11.14.1_1-196,244-305,371-524,558-950_1QBK:B:	0	0	17	47	0	50	54	64	0	888
jgi|Lacbi1|186716|estExt_GeneWisePlus_worm.C_10001_152-228_1XD3:B:	3	5	1	1	0	10	1	6	0	75
jgi|Lacbi1|186716|estExt_GeneWisePlus_worm.C_10001_228-304_1XD3:B:	3	5	1	1	0	10	1	6	0	75
jgi|Lacbi1|186716|estExt_GeneWisePlus_worm.C_10001_76-152_1XD3:B:	3	5	1	1	0	10	1	6	0	75
jgi|Lacbi1|186716|estExt_GeneWisePlus_worm.C_10001_1-76_1XD3:B:	3	5	1	1	0	10	1	6	0	75
jgi|Lacbi1|294559|estExt_fgenesh2_pg.C_150090_2-134_1KX5:A:	0	2	0	4	0	17	13	6	0	135
jgi|Lacbi1|318312|eu2.Lbscf0008g04940_2-148_1MXE:A:	0	4	0	8	0	14	5	6	0	144
jgi|Lacbi1|301301|eu2.Lbscf0001g07500_4-343_1N0U:A:3-343	9	9	5	14	0	30	13	15	0	341
jgi|Lacbi1|301301|eu2.Lbscf0001g07500_561-724_1N0U:A:561-725	1	7	1	5	0	15	13	8	0	165
jgi|Lacbi1|301301|eu2.Lbscf0001g07500_344-481_1N0U:A:344-481	3	10	0	2	0	16	10	11	0	138
jgi|Lacbi1|301301|eu2.Lbscf0001g07500_726-839_1N0U:A:726-842	0	4	3	3	0	11	3	6	0	117
jgi|Lacbi1|301301|eu2.Lbscf0001g07500_484-559_1N0U:A:482-560	0	4	1	2	0	9	6	3	0	79
jgi|Lacbi1|320940|fgenesh3_pg.C_scaffold_1000510_9-84_1M2T:B:249-384	3	13	5	0	0	24	10	8	0	136
jgi|Lacbi1|301306|eu2.Lbscf0001g07550_15-42_1NJ3:A:	0	2	0	0	0	8	5	0	0	30
