PDB_ID	Total_Structures	Average_Length
gi|116751205|ref|YP_847892.1|_4-136_1J23:A:	38	3.45
gi|116747453|ref|YP_844140.1|_109-318_1L8Q:A:77-289	53	4.02
gi|116747453|ref|YP_844140.1|_348-443_1J1V:A:	19	4.95
gi|116747454|ref|YP_844141.1|_3-92_1IHF:A:	23	4.17
gi|116747455|ref|YP_844142.1|_4-126_1B66:A:	37	3.73
gi|116747457|ref|YP_844144.1|_471-589_1W3B:A:	90	4.31
gi|116747458|ref|YP_844145.1|_37-348_1VIM:A:	53	3.75
gi|116747459|ref|YP_844146.1|_27-261_1GPH:1:1-234	80	2.92
gi|116747459|ref|YP_844146.1|_260-484_1GPH:1:235-465	81	2.85
gi|116747460|ref|YP_844147.1|_128-400_1A9X:A:128-402	91	3.02
gi|116747460|ref|YP_844147.1|_675-935_1A9X:A:677-935	75	3.45
gi|116747460|ref|YP_844147.1|_559-677_1A9X:A:556-676	44	2.75
gi|116747460|ref|YP_844147.1|_1-127_1A9X:A:1-127	45	2.82
gi|116747460|ref|YP_844147.1|_396-556_1A9X:A:403-555	46	3.33
gi|116747460|ref|YP_844147.1|_937-1073_1A9X:A:936-1073	45	3.07
gi|116747461|ref|YP_844148.1|_190-378_1A9X:B:1653-1880	72	3.17
gi|116747461|ref|YP_844148.1|_9-154_1A9X:B:1502-1652	57	2.65
gi|116747462|ref|YP_844149.1|_1-242_1VH1:A:	74	3.32
gi|116747463|ref|YP_844150.1|_489-754_1V4A:A:2-286	75	3.80
gi|116747463|ref|YP_844150.1|_4-261_1V4A:A:2-286	75	3.80
gi|116747463|ref|YP_844150.1|_263-415_1V4A:A:287-437	34	4.44
gi|116747463|ref|YP_844150.1|_763-912_1V4A:A:287-437	34	4.44
gi|116747464|ref|YP_844151.1|_162-247_1KF6:B:106-243	39	3.54
gi|116747465|ref|YP_844152.1|_244-486_1H7W:A:184-287,A:441-532	73	2.70
gi|116747465|ref|YP_844152.1|_152-254_1H7W:A:2-183	56	3.25
gi|116747465|ref|YP_844152.1|_611-637,1014-1096_1FCA:A:	25	2.20
