PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gi|110636428|ref|YP_676635.1|_1-201_1M65:A:	5	8	5	8	0	27	12	19	0	244
gi|110636429|ref|YP_676636.1|_2-258,291-319_1R6D:A:	3	12	4	12	0	35	11	18	0	322
gi|110636430|ref|YP_676637.1|_136-379_1OUV:A:	0	0	0	15	0	18	7	15	0	272
gi|110636430|ref|YP_676637.1|_39-171_1IHG:A:197-365	0	0	2	8	0	13	5	7	0	169
gi|110636430|ref|YP_676637.1|_358-443_1FCH:A:	0	0	2	17	0	24	6	19	0	323
gi|110636431|ref|YP_676638.1|_7-249_1U83:A:	0	8	5	9	0	22	11	11	0	249
gi|110636433|ref|YP_676640.1|_102-244_1NVT:A:111-287	0	6	0	7	0	21	11	9	0	177
gi|110636433|ref|YP_676640.1|_1-100_1NVT:A:1-110	0	6	2	3	0	12	4	8	0	105
gi|110636435|ref|YP_676642.1|_4-413_1D9X:A:2-414	5	14	4	13	0	50	29	20	0	413
gi|110636435|ref|YP_676642.1|_33-78,468-587_1D9X:A:415-595	0	5	2	5	0	14	14	14	0	181
gi|110636435|ref|YP_676642.1|_625-670_1E52:A:	0	0	0	3	0	5	3	3	0	56
gi|110636436|ref|YP_676643.1|_1-164_1J54:A:	0	6	1	7	0	16	12	11	0	174
gi|110636439|ref|YP_676646.1|_7-373_2BIS:A:1-437	4	17	6	16	0	48	27	24	0	437
gi|110636440|ref|YP_676647.1|_37-401_1TR9:A:	4	10	5	10	1	41	27	19	0	340
gi|110636440|ref|YP_676647.1|_592-964_1CI9:A:	7	15	6	14	0	46	29	29	0	377
gi|110636440|ref|YP_676647.1|_429-564_1EX1:A:389-602	5	6	2	6	0	33	25	10	0	214
gi|110636441|ref|YP_676648.1|_5-202_1B63:A:2-216	0	8	2	8	0	19	14	13	0	216
gi|110636441|ref|YP_676648.1|_429-610_1X9Z:A:	2	7	1	7	0	14	7	8	0	182
gi|110636441|ref|YP_676648.1|_194-326_1B63:A:217-331	0	7	3	3	0	10	2	7	0	115
gi|110636442|ref|YP_676649.1|_3-111,180-258_2IC8:A:91-272	0	0	3	8	0	13	9	4	0	182
gi|110636443|ref|YP_676650.1|_16-215_2IC8:A:91-272	0	0	3	8	0	13	9	4	0	182
gi|110636444|ref|YP_676651.1|_5-260_2DUB:A:	2	10	4	11	0	25	14	14	0	259
gi|110636446|ref|YP_676653.1|_17-154_1RNJ:A:	2	10	0	1	0	18	7	8	0	152
gi|110636447|ref|YP_676654.1|_1-291_1LVW:A:	1	14	3	11	0	29	22	21	0	294
gi|110636448|ref|YP_676655.1|_166-192,227-289,328-435_1ELR:A:	0	0	0	7	0	9	1	5	0	128
gi|110636448|ref|YP_676655.1|_56-188_1P5Q:A:258-427	0	0	1	7	0	10	2	6	0	170
gi|110636448|ref|YP_676655.1|_402-574_2FBN:A:22-174	0	0	1	7	0	10	3	7	0	153
gi|110636450|ref|YP_676657.1|_216-409_1QWY:A:	0	20	2	4	0	32	22	13	0	270
gi|110636452|ref|YP_676659.1|_6-470_2F2A:A:1-485	12	11	6	15	0	46	29	35	0	485
gi|110636453|ref|YP_676660.1|_96-257_1QSA:A:451-618	3	0	1	9	0	18	9	10	0	168
gi|110636453|ref|YP_676660.1|_376-420_1E0G:A:	0	2	1	2	0	8	1	3	0	48
gi|110636453|ref|YP_676660.1|_451-494_1E0G:A:	0	2	1	2	0	8	1	3	0	48
gi|110636454|ref|YP_676661.1|_427-749_1R5J:A:	4	10	1	13	0	38	28	16	0	329
gi|110636454|ref|YP_676661.1|_162-441_1VL6:A:155-376	3	6	2	9	0	28	19	15	0	222
gi|110636454|ref|YP_676661.1|_8-160_1VL6:A:1-154	2	5	3	8	0	17	11	6	0	154
gi|110636455|ref|YP_676662.1|_64-133_1CUK:A:65-142	0	0	1	5	0	6	5	4	0	78
gi|110636455|ref|YP_676662.1|_1-62_1CUK:A:1-64	0	5	0	1	0	3	2	5	0	64
gi|110636455|ref|YP_676662.1|_151-198_1IXS:A:	0	0	0	3	0	5	0	3	0	50
gi|110636457|ref|YP_676664.1|_2-124_1ONL:A:	3	9	1	4	0	17	7	8	0	127
gi|110636459|ref|YP_676666.1|_2-42,180-390_1RTQ:A:	0	9	4	8	0	27	18	18	0	291
gi|110636461|ref|YP_676668.1|_3-69_1Y9Q:A:4-82	0	0	1	5	0	7	4	5	0	79
gi|110636464|ref|YP_676671.1|_1-146,221-334_1P9E:A:	5	15	2	9	0	33	16	22	0	294
gi|110636465|ref|YP_676672.1|_17-177_1L1J:A:	2	14	3	5	0	26	14	9	0	228
gi|110636467|ref|YP_676674.1|_1-275_1E69:A:	6	14	2	6	0	26	20	16	0	308
gi|110636467|ref|YP_676674.1|_1-60,864-1022_1W1W:A:	2	14	3	8	0	28	15	19	0	427
gi|110636469|ref|YP_676676.1|_194-306_1Y88:A:3-127	2	0	1	4	0	5	1	2	0	57
gi|110636473|ref|YP_676680.1|_9-72_2B5A:A:1-77	1	0	0	5	0	7	1	4	0	77
