PDB_ID	Total_Structures	Average_Length
LOC_Os08g37490.1|PACid:21890126_10-245_1O9D:A:	35	6.74
LOC_Os04g38870.1|PACid:21892623_8-241_1O9D:A:	35	6.74
LOC_Os04g38870.2|PACid:21892624_8-241_1O9D:A:	35	6.74
LOC_Os04g38870.3|PACid:21892625_8-241_1O9D:A:	35	6.74
LOC_Os04g38870.4|PACid:21892626_8-241_1O9D:A:	35	6.74
LOC_Os04g38870.5|PACid:21892627_8-241_1O9D:A:	35	6.74
LOC_Os08g33370.1|PACid:21889353_1-235_1O9D:A:	35	6.74
LOC_Os08g33370.2|PACid:21889354_1-235_1O9D:A:	35	6.74
LOC_Os11g34450.1|PACid:21946833_8-244_1O9D:A:	35	6.74
LOC_Os02g36974.1|PACid:21921107_8-241_1O9D:A:	35	6.74
LOC_Os02g36974.2|PACid:21921108_8-241_1O9D:A:	35	6.74
LOC_Os02g36974.3|PACid:21921109_8-241_1O9D:A:	35	6.74
LOC_Os02g36974.4|PACid:21921110_8-241_1O9D:A:	35	6.74
LOC_Os03g50290.1|PACid:21917406_7-240_1O9D:A:	35	6.74
LOC_Os03g50290.2|PACid:21917407_7-240_1O9D:A:	35	6.74
LOC_Os03g50290.3|PACid:21917408_7-240_1O9D:A:	35	6.74
LOC_Os11g39540.1|PACid:21944692_3-214_1O9D:A:	35	6.74
LOC_Os03g51740.1|PACid:21912862_20-442_1B8G:A:	124	3.45
LOC_Os02g13110.1|PACid:21917936_51-81,115-161,235-451,495-518_1ERJ:A:	123	3.15
LOC_Os02g13110.2|PACid:21917937_51-81,115-161,235-451,495-518_1ERJ:A:	123	3.15
LOC_Os08g14760.1|PACid:21890184_36-560_1LCI:A:	183	2.96
LOC_Os02g46970.1|PACid:21918563_36-568_1LCI:A:	183	2.96
LOC_Os02g08100.1|PACid:21918331_23-541_1LCI:A:	183	2.96
LOC_Os06g44620.1|PACid:21932472_29-548_1LCI:A:	183	2.96
LOC_Os08g34790.1|PACid:21888094_19-535_1LCI:A:	183	2.96
LOC_Os03g05780.1|PACid:21914011_31-548_1LCI:A:	183	2.96
LOC_Os08g04770.1|PACid:21889982_35-574_1LCI:A:	183	2.96
LOC_Os03g04000.1|PACid:21913392_45-550_1LCI:A:	183	2.96
LOC_Os01g67540.1|PACid:21908132_87-590_1LCI:A:	183	2.96
LOC_Os07g17970.1|PACid:21900552_64-549_1LCI:A:	183	2.96
