PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gi|124484830|ref|YP_001029446.1|_21-299_1FNN:A:1-276	1.00	5.40	3.50	11.00	0.00	1.88	1.42	1.88	0.00	276.00
gi|124484830|ref|YP_001029446.1|_305-411_1FNN:A:277-388	0.00	3.33	0.00	13.00	0.00	2.78	1.75	1.67	0.00	112.00
gi|124484831|ref|YP_001029447.1|_64-144_1RI7:A:85-170	0.00	7.50	0.00	10.50	0.00	2.12	2.00	1.60	0.00	86.00
gi|124484831|ref|YP_001029447.1|_1-60_1RI7:A:25-84	0.00	0.00	3.00	9.00	0.00	3.20	2.33	2.33	0.00	60.00
gi|124484832|ref|YP_001029448.1|_4-384_1GDE:A:	1.00	4.17	3.14	12.15	0.00	2.02	1.17	2.20	0.00	388.00
gi|124484833|ref|YP_001029449.1|_222-445_1II7:A:	1.00	5.47	3.00	9.25	0.00	1.97	1.65	2.15	0.00	333.00
gi|124484835|ref|YP_001029451.1|_12-108_1YHF:A:1-112	0.00	6.56	0.00	4.00	0.00	1.47	1.67	2.00	0.00	112.00
gi|124484837|ref|YP_001029453.1|_15-159_2FE7:A:3-158	0.00	7.43	3.00	10.80	0.00	1.58	1.00	2.11	0.00	156.00
gi|124484839|ref|YP_001029455.1|_2-112_1EXJ:A:3-120	0.00	3.00	4.00	15.40	0.00	1.62	1.50	1.50	0.00	118.00
gi|124484839|ref|YP_001029455.1|_159-266_1JYH:A:	0.00	6.89	3.00	11.00	0.00	1.48	1.50	2.20	0.00	155.00
gi|124484842|ref|YP_001029458.1|_53-282_1E3D:A:	1.00	3.44	3.14	6.15	0.00	1.55	1.60	1.78	0.00	262.00
gi|124484843|ref|YP_001029459.1|_7-159_1CFZ:A:	1.00	5.14	3.33	9.00	0.00	1.76	1.40	2.00	0.00	162.00
gi|124484844|ref|YP_001029460.1|_1-438_1CC1:L:	1.00	4.94	4.00	12.33	0.00	2.13	1.72	1.79	0.00	487.00
gi|124484848|ref|YP_001029464.1|_24-203_1NP3:A:1-182	0.00	4.22	3.00	7.67	0.00	1.54	1.44	1.73	0.00	182.00
gi|124484848|ref|YP_001029464.1|_204-345_1NP3:A:183-327	0.00	0.00	0.00	13.22	0.00	1.20	1.00	2.29	0.00	145.00
gi|124484849|ref|YP_001029465.1|_58-347_1OYW:A:1-206	0.00	4.57	4.00	8.80	0.00	1.68	1.43	1.75	0.00	206.00
gi|124484850|ref|YP_001029466.1|_116-292_1A9X:A:677-935	1.00	5.91	3.50	9.88	0.00	2.43	1.50	1.67	0.00	259.00
gi|124484851|ref|YP_001029467.1|_4-220_1JAY:A:	0.00	4.36	3.00	9.10	0.00	1.80	1.27	1.82	0.00	212.00
gi|124484854|ref|YP_001029470.1|_18-496_1V25:A:	1.00	4.79	3.00	8.62	0.00	2.53	1.61	1.88	0.00	534.00
gi|124484855|ref|YP_001029471.1|_425-643_3DHW:C:1-240	1.00	6.40	3.00	11.43	0.00	1.57	1.47	2.67	0.00	240.00
gi|124484855|ref|YP_001029471.1|_190-413_3DHW:C:1-240	1.00	6.40	3.00	11.43	0.00	1.57	1.47	2.67	0.00	240.00
gi|124484861|ref|YP_001029477.1|_4-196_1KRR:A:	1.00	2.67	3.00	11.33	0.00	1.32	1.53	2.06	0.00	200.00
gi|124484862|ref|YP_001029478.1|_1-136,386-588_1G6H:A:	1.00	5.55	3.40	9.44	0.00	1.67	1.19	2.06	0.00	254.00
gi|124484863|ref|YP_001029479.1|_7-296_1U1J:A:396-760	1.33	3.30	3.67	10.82	0.00	2.07	1.64	2.04	0.00	365.00
gi|124484864|ref|YP_001029480.1|_6-147_2HQ9:A:1-148	1.00	8.25	3.00	12.00	0.00	2.91	1.33	2.00	0.00	148.00
gi|124484866|ref|YP_001029482.1|_3-64_1UTX:A:	0.00	3.00	0.00	7.40	0.00	1.86	1.00	1.75	0.00	66.00
gi|124484867|ref|YP_001029483.1|_1-93_1RJJ:A:	0.00	8.00	5.00	10.67	0.00	2.20	1.38	1.80	0.00	111.00
gi|124484868|ref|YP_001029484.1|_113-424_1B8A:A:104-438	1.00	5.23	3.50	10.45	0.00	2.17	1.57	1.94	0.00	335.00
gi|124484868|ref|YP_001029484.1|_16-101_1B8A:A:1-103	1.00	10.40	3.00	6.00	0.00	1.50	1.00	2.14	0.00	103.00
gi|124484869|ref|YP_001029485.1|_53-205_2AVN:A:1-246	1.00	6.20	4.67	9.90	0.00	1.29	1.42	1.78	0.00	246.00
gi|124484870|ref|YP_001029486.1|_48-514_1VR5:A:23-557	1.00	5.00	3.60	8.94	0.00	1.89	1.72	2.12	0.00	535.00
gi|124484871|ref|YP_001029487.1|_91-296_2R6G:F:261-504	1.00	0.00	3.00	12.75	0.00	1.56	1.87	1.69	0.00	244.00
gi|124484872|ref|YP_001029488.1|_60-252_3DHW:A:6-208	0.00	0.00	10.00	15.89	0.00	1.64	1.86	2.11	0.00	203.00
gi|124484873|ref|YP_001029489.1|_4-251_3DHW:C:1-240	1.00	6.40	3.00	11.43	0.00	1.57	1.47	2.67	0.00	240.00
gi|124484874|ref|YP_001029490.1|_3-207_1V43:A:7-245	1.00	6.20	3.50	9.50	0.00	2.25	1.38	2.00	0.00	239.00
gi|124484875|ref|YP_001029491.1|_32-205_1F2T:A:,B:	1.00	6.13	4.00	12.57	0.00	1.67	1.43	1.87	1.00	292.00
gi|124484876|ref|YP_001029492.1|_12-82_1CLF:A:	1.00	3.00	0.00	0.00	0.00	2.00	1.50	3.17	0.00	55.00
gi|124484877|ref|YP_001029493.1|_1-174_1B0P:A:416-668	1.00	6.50	3.75	9.89	0.00	1.97	1.33	2.09	0.00	253.00
gi|124484878|ref|YP_001029494.1|_4-247_1B0P:A:2-258	1.00	4.45	0.00	12.40	0.00	1.91	1.23	2.67	0.00	257.00
gi|124484878|ref|YP_001029494.1|_249-359_1B0P:A:259-415	1.00	4.57	3.00	11.25	0.00	2.10	1.36	1.88	0.00	157.00
gi|124484879|ref|YP_001029495.1|_11-283_1B0P:A:786-1232	1.11	4.88	3.00	10.41	0.00	2.07	1.45	2.20	0.00	447.00
gi|124484883|ref|YP_001029499.1|_73-264_1WQW:A:1-188	1.00	6.86	3.00	11.40	0.00	2.18	1.60	2.09	0.00	188.00
gi|124484883|ref|YP_001029499.1|_11-59_1J5Y:A:3-67	1.00	3.00	0.00	13.00	0.00	1.43	1.50	1.50	0.00	65.00
gi|124484883|ref|YP_001029499.1|_273-318_1BIA:A:271-317	0.00	6.00	0.00	0.00	0.00	1.00	1.33	2.25	0.00	47.00
gi|124484886|ref|YP_001029502.1|_1-269_2IDB:A:6-325	1.00	4.72	3.00	9.57	0.00	2.05	1.44	1.93	0.00	320.00
gi|124484886|ref|YP_001029502.1|_272-409_2IDB:A:326-491	1.00	5.83	3.00	11.00	0.00	2.21	1.40	2.20	0.00	166.00
gi|124484887|ref|YP_001029503.1|_2-180_1SBZ:A:	1.00	5.00	3.00	10.43	0.00	2.26	1.56	1.64	0.00	186.00
gi|124484888|ref|YP_001029504.1|_3-387_2HEK:A:1-369	1.00	5.67	3.25	9.25	0.00	1.76	1.53	1.96	0.00	369.00
gi|124484892|ref|YP_001029508.1|_3-59_2HF1:A:2-60	1.00	3.33	2.50	4.00	0.00	1.88	0.00	3.25	0.00	59.00
gi|124484893|ref|YP_001029509.1|_1-332_1QF5:A:	1.12	3.95	3.38	10.23	0.00	1.61	1.73	2.12	0.00	431.00
gi|124484895|ref|YP_001029511.1|_377-433_2OZ6:A:143-213	0.00	4.25	0.00	11.00	0.00	1.20	1.00	1.71	0.00	71.00
gi|124484896|ref|YP_001029512.1|_156-405_1UOU:A:101-373	1.00	5.00	6.00	11.58	0.00	2.19	1.50	2.00	0.00	273.00
gi|124484896|ref|YP_001029512.1|_412-496_1BRW:A:331-433	0.00	4.86	0.00	9.50	0.00	1.85	1.75	2.00	0.00	103.00
gi|124484896|ref|YP_001029512.1|_89-154_1BRW:A:1-70	0.00	0.00	0.00	12.00	0.00	2.80	1.50	1.67	0.00	70.00
gi|124484897|ref|YP_001029513.1|_278-345_2B59:B:8-103	0.00	5.10	0.00	5.00	0.00	1.50	2.00	2.00	0.00	96.00
gi|124484897|ref|YP_001029513.1|_196-258_2B59:B:8-103	0.00	5.10	0.00	5.00	0.00	1.50	2.00	2.00	0.00	96.00
gi|124484897|ref|YP_001029513.1|_38-97_1TI6:B:196-274	0.00	7.00	0.00	0.00	0.00	1.14	1.67	2.00	0.00	79.00
