PDB_ID	Total_Structures	Average_Length
gi|14521983|ref|NP_125692.1|_8-217_1CJS:A:	63	3.38
gi|14520219|ref|NP_125693.1|_4-82_1MMS:A:8-70	19	3.32
gi|14520219|ref|NP_125693.1|_66-138_1S72:I:	20	3.50
gi|14520221|ref|NP_125695.1|_4-58_1RHZ:B:	8	8.12
gi|14520222|ref|NP_125696.1|_38-235_1W5B:A:23-231	51	4.10
gi|14520222|ref|NP_125696.1|_233-347_1W5B:A:232-354	42	2.93
gi|14520224|ref|NP_125698.1|_1-271_2GFQ:A:1-274	90	3.18
gi|14520225|ref|NP_125699.1|_21-73_1WOT:A:	31	3.16
gi|14520227|ref|NP_125701.1|_4-203_1VAJ:A:3-205	65	3.12
gi|14520228|ref|NP_125702.1|_104-273_1O4U:A:104-273	50	3.40
gi|14520228|ref|NP_125702.1|_5-103_1QPO:A:2-116	28	4.11
gi|14520229|ref|NP_125703.1|_1-168_2Q4V:A:3-169	43	3.88
gi|14520230|ref|NP_125704.1|_11-307_1WZU:A:1-298	91	3.27
gi|14520232|ref|NP_125706.1|_4-231,313-365_1CHU:A:2-237,A:354-422	87	3.52
gi|14520232|ref|NP_125706.1|_207-310_1CHU:A:238-353	47	2.47
gi|14520232|ref|NP_125706.1|_387-453_1CHU:A:423-533	28	3.96
gi|14520233|ref|NP_125707.1|_93-452_1JQO:A:	212	4.42
gi|14520234|ref|NP_125708.1|_1-240_3D03:A:1-271	106	2.58
gi|14520235|ref|NP_125709.1|_17-146,405-524_1Q3Q:A:9-145,A:406-526	58	4.47
gi|14520235|ref|NP_125709.1|_212-378_1Q3Q:A:217-369	54	2.83
gi|14520235|ref|NP_125709.1|_149-216,368-405_1Q3Q:A:146-216,A:370-405	30	3.60
gi|14520237|ref|NP_125711.1|_2-91_1YLQ:A:1-90	28	3.21
gi|14520238|ref|NP_125712.1|_66-131_1WTY:A:	21	5.52
gi|14520239|ref|NP_125713.1|_25-173_1TV8:A:	108	3.03
gi|14520240|ref|NP_125714.1|_68-640_1H78:A:	148	3.80
gi|14520241|ref|NP_125715.1|_4-243_1V43:A:7-245	69	3.46
gi|14520241|ref|NP_125715.1|_237-363_1V43:A:304-373	20	3.50
gi|14520242|ref|NP_125716.1|_10-269_2R6G:G:7-296	72	4.03
gi|14520243|ref|NP_125717.1|_5-277_2R6G:F:261-504	64	3.81
gi|14520244|ref|NP_125718.1|_26-418_1ELJ:A:	118	3.22
gi|14520245|ref|NP_125719.1|_52-254_1W3B:A:	90	4.31
gi|14520246|ref|NP_125720.1|_8-91_1GH8:A:	26	3.42
gi|14520250|ref|NP_125725.1|_216-617_1AOR:A:211-605	121	3.26
gi|14520250|ref|NP_125725.1|_8-211_1AOR:A:1-210	72	2.92
gi|14520251|ref|NP_125726.1|_17-273_1PZ1:A:	119	2.79
gi|14520252|ref|NP_125727.1|_8-96_2P4W:A:1-194	42	4.69
gi|14520253|ref|NP_125728.1|_46-191_2ITB:A:3-201	35	5.69
gi|14520254|ref|NP_125729.1|_5-200_1XM8:A:	77	3.29
gi|14520255|ref|NP_125730.1|_18-328_1J33:A:	93	3.58
gi|33356661|ref|NP_125731.2|_10-124_2H1C:A:1-138	42	3.29
gi|14520257|ref|NP_125732.1|_13-53_2BJ7:A:1-50	10	5.00
gi|14520258|ref|NP_125733.1|_2-173_1H7E:A:	81	3.02
gi|14520260|ref|NP_125735.1|_2-64_1FT9:A:134-213	27	2.96
gi|14520263|ref|NP_125738.1|_5-139_1Y9I:A:	39	4.08
gi|14520265|ref|NP_125740.1|_14-319_1UU1:A:	91	3.63
gi|14520266|ref|NP_125741.1|_3-72,191-403_1EQJ:A:3-76,A:311-510	99	2.78
gi|14520267|ref|NP_125742.1|_5-306_1DCT:A:	109	2.97
gi|14520268|ref|NP_125743.1|_1-94_1I50:K:	35	3.26
gi|14520270|ref|NP_125745.1|_69-190_2NN6:I:61-185	45	2.78
gi|14520270|ref|NP_125745.1|_15-66_2NN6:I:6-60	28	1.96
gi|14520271|ref|NP_125746.1|_228-552_2P6R:A:1-202	56	3.61
gi|14520272|ref|NP_125747.1|_4-63_2CFX:A:1-63	17	3.71
gi|14520272|ref|NP_125747.1|_66-150_2CG4:A:67-152	24	3.58
gi|14520273|ref|NP_125748.1|_6-107_1SFX:A:	22	4.91
gi|14520274|ref|NP_125749.1|_31-145_1VJ2:A:	36	3.17
gi|14520275|ref|NP_125750.1|_15-58,204-419_1QQ9:A:	85	3.26
gi|14520276|ref|NP_125751.1|_11-237_1XHB:A:95-422	99	3.31
gi|14520277|ref|NP_125752.1|_3-226_1G8A:A:	71	3.20
gi|14520278|ref|NP_125753.1|_126-366_1NT2:B:	61	4.20
gi|14520279|ref|NP_125754.1|_1-277_2FNA:A:1-283	74	3.82
gi|14520279|ref|NP_125754.1|_278-348_2FNA:A:284-356	22	3.32
gi|14520280|ref|NP_125755.1|_11-321_1J0A:A:	97	3.35
gi|14520281|ref|NP_125756.1|_2-229_1JW9:B:	74	3.34
gi|14520282|ref|NP_125757.1|_18-178_1Y23:A:	47	2.96
gi|14520283|ref|NP_125758.1|_75-149_1A32:A:	16	5.31
gi|14520284|ref|NP_125759.1|_11-228,304-476_1IR6:A:	111	3.47
gi|14520286|ref|NP_125761.1|_3-64_1RI7:A:25-84	15	4.00
gi|14520286|ref|NP_125761.1|_65-141_1RI7:A:85-170	24	3.58
gi|14520287|ref|NP_125762.1|_4-77_2GTA:D:2-111	14	7.86
gi|14520288|ref|NP_125763.1|_39-128_1U2W:A:12-119	24	4.50
gi|14520291|ref|NP_125766.1|_9-338_1ZQ1:A:76-438	130	2.79
gi|14520294|ref|NP_125769.1|_1-426_2BIS:A:1-437	142	3.08
gi|14520295|ref|NP_125770.1|_201-292_1S7B:A:	24	4.54
gi|14520295|ref|NP_125770.1|_57-159_1S7B:A:	24	4.54
gi|14520297|ref|NP_125772.1|_4-128_2I5E:A:1-208	66	3.15
gi|14520299|ref|NP_125774.1|_67-153_1BYK:A:	76	3.36
gi|14520300|ref|NP_125775.1|_4-175_1G64:B:	55	3.45
gi|14520302|ref|NP_125777.1|_2-359_1B65:A:	122	3.01
gi|14520303|ref|NP_125778.1|_3-147_1VBK:A:1-175	51	3.43
gi|14520303|ref|NP_125778.1|_184-341_1K3R:A:1-92,A:164-262	55	3.49
gi|14520304|ref|NP_125779.1|_3-112_1XJC:A:	47	3.51
gi|14520306|ref|NP_125781.1|_8-266_1OJX:A:	81	3.10
