PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gnl|CMER|CMV056C_8-308_2F9Y:A:4-319	0.00	6.43	3.33	8.20	0.00	2.48	1.41	2.24	0.00	316.00
gnl|CMER|CMV132C_1-78_1T8K:A:	1.00	0.00	3.00	10.50	0.00	2.25	0.00	2.00	0.00	77.00
gnl|CMER|CMV149C_78-235_1AFR:A:	0.00	4.00	3.20	15.43	0.00	2.08	1.40	1.78	0.00	345.00
gnl|CMER|CMM237C_147-377_2BTF:A:147-375	0.00	3.78	3.40	8.30	0.00	1.68	1.15	2.19	0.00	229.00
gnl|CMER|CMM237C_5-154_1C0G:A:1-146	0.00	4.00	3.00	9.75	0.00	2.62	1.40	1.62	0.00	146.00
gnl|CMER|CMV160C_18-289_2BTY:A:1-282	1.00	4.21	3.00	10.73	0.00	1.54	1.80	1.88	0.00	282.00
gnl|CMER|CMV225C_97-371_1FX0:A:97-372	1.14	4.75	3.17	11.20	0.00	2.03	2.04	2.53	0.00	276.00
gnl|CMER|CMV225C_374-492_1FX0:A:373-501	0.00	0.00	3.00	15.17	0.00	1.78	2.67	1.83	0.00	129.00
gnl|CMER|CMV225C_11-95_1FX0:A:25-96	0.00	4.83	3.00	0.00	0.00	2.00	1.67	2.20	0.00	72.00
gnl|CMER|CMV196C_76-354_1FX0:B:98-377	1.00	4.50	3.00	7.78	0.00	1.91	1.83	2.26	0.00	280.00
gnl|CMER|CMV196C_352-466_1FX0:B:378-485	0.00	0.00	3.00	16.33	0.00	1.90	1.71	3.14	0.00	108.00
gnl|CMER|CMV196C_2-74_1FX0:B:19-97	0.00	5.17	0.00	0.00	0.00	2.17	2.80	2.00	0.00	79.00
gnl|CMER|CMV224C_2-92_1ABV:A:	0.00	0.00	3.00	13.33	0.00	1.50	1.33	1.50	0.00	105.00
gnl|CMER|CMV195C_1-79_1AQT:A:2-86	1.00	6.44	1.00	0.00	0.00	1.60	2.00	2.33	0.00	85.00
gnl|CMER|CMV221C_4-79_1C99:A:	0.00	0.00	3.00	34.50	0.00	1.00	1.00	4.00	0.00	79.00
gnl|CMER|CMV222C_42-132_1AV1:D:	0.00	0.00	4.00	24.00	0.00	3.67	1.33	2.17	0.00	200.00
gnl|CMER|CMV015C_21-286_1LV7:A:	1.00	4.67	3.33	10.20	0.00	1.90	1.35	1.78	0.00	256.00
gnl|CMER|CMV086C_6-133,403-518_1WE3:A:3-138,A:409-527	1.00	4.12	3.00	15.40	0.00	1.50	1.71	2.27	1.00	255.00
gnl|CMER|CMV086C_184-373_1SJP:A:189-372	1.00	4.75	3.00	13.60	0.00	1.50	1.50	2.86	0.00	184.00
gnl|CMER|CMV086C_136-202_1WE3:A:139-189,A:374-408	0.00	5.67	0.00	16.00	0.00	1.14	2.00	1.67	1.00	86.00
gnl|CMER|CMV208C_6-143_1MZ4:A:	1.00	3.00	3.00	9.00	0.00	1.64	1.67	2.00	0.00	131.00
gnl|CMER|CMV096C_5-215_1Q90:B:	1.00	2.00	3.50	15.10	0.00	1.60	1.86	2.20	0.00	212.00
gnl|CMER|CMV209C_4-104_1GDV:A:	1.00	0.00	3.00	9.80	0.00	1.75	1.50	1.83	0.00	85.00
gnl|CMER|CMV155C_33-190,247-266_1HCZ:A:1-167,A:231-250	1.00	5.67	3.50	6.00	0.00	1.73	1.21	2.00	1.00	187.00
gnl|CMER|CMV155C_263-300_1VF5:C:250-286	0.00	0.00	3.00	24.00	0.00	1.33	0.00	1.50	0.00	37.00
gnl|CMER|CMV155C_195-247_1E2W:A:169-232	1.00	5.50	0.00	0.00	0.00	1.43	2.40	2.00	0.00	64.00
gnl|CMER|CMV163C_186-377_1DKG:D:186-383	1.00	8.83	4.00	13.33	0.00	1.92	1.60	2.71	0.00	198.00
gnl|CMER|CMV163C_2-183_1DKG:D:3-185	1.00	3.83	3.00	10.40	0.00	1.67	1.42	2.09	0.00	183.00
gnl|CMER|CMV163C_379-535_1CKR:A:	1.00	5.90	0.00	7.00	0.00	2.00	2.14	2.78	0.00	159.00
gnl|CMER|CMV219C_53-197_1TFE:A:	1.00	6.60	3.00	13.80	0.00	1.44	1.25	2.25	0.00	142.00
gnl|CMER|CMV219C_3-51_1EFU:B:1-54	0.00	0.00	0.00	13.33	0.00	2.67	1.00	2.50	0.00	54.00
gnl|CMER|CMV191C_6-230_1EXM:A:3-212	1.00	5.67	3.00	11.00	0.00	1.68	1.20	2.10	0.00	210.00
gnl|CMER|CMV191C_309-409_1EFC:A:297-393	1.00	9.17	3.00	0.00	0.00	1.62	1.67	1.83	0.00	97.00
gnl|CMER|CMV191C_216-312_1EXM:A:213-312	1.00	4.70	0.00	0.00	0.00	1.75	1.57	2.22	0.00	100.00
gnl|CMER|CMV129C_152-398_1LV7:A:	1.00	4.67	3.33	10.20	0.00	1.90	1.35	1.78	0.00	256.00
gnl|CMER|CMV129C_403-595_2CE7:A:411-603	1.00	3.00	3.00	15.14	0.00	6.00	1.14	1.50	0.00	193.00
gnl|CMER|CMV138C_3-200_1KA9:H:	0.00	4.31	6.00	8.60	0.00	1.55	2.00	1.85	0.00	195.00
gnl|CMER|CMV021C_89-174_1TIG:A:	0.00	7.75	0.00	15.50	0.00	1.71	1.00	2.40	0.00	88.00
gnl|CMER|CMV021C_12-85_1TIF:A:	1.00	5.50	3.00	12.00	0.00	1.62	1.67	2.00	0.00	76.00
gnl|CMER|CMV025C_79-184,214-369_1XZP:A:212-371	1.00	6.17	3.00	8.67	0.00	2.40	1.60	1.50	0.00	160.00
gnl|CMER|CMV154C_6-204_1NI4:B:0-191	0.00	4.00	4.33	8.12	0.00	1.67	1.45	2.31	0.00	191.00
gnl|CMER|CMV154C_188-324_1QS0:B:206-339	0.00	3.83	0.00	9.60	0.00	2.12	1.54	1.80	0.00	134.00
