PDB_ID	Total_Structures	Average_Length
gi|124484830|ref|YP_001029446.1|_21-299_1FNN:A:1-276	84	3.29
gi|124484830|ref|YP_001029446.1|_305-411_1FNN:A:277-388	24	4.67
gi|124484831|ref|YP_001029447.1|_64-144_1RI7:A:85-170	24	3.58
gi|124484831|ref|YP_001029447.1|_1-60_1RI7:A:25-84	15	4.00
gi|124484832|ref|YP_001029448.1|_4-384_1GDE:A:	115	3.37
gi|124484833|ref|YP_001029449.1|_222-445_1II7:A:	108	3.08
gi|124484835|ref|YP_001029451.1|_12-108_1YHF:A:1-112	40	2.80
gi|124484837|ref|YP_001029453.1|_15-159_2FE7:A:3-158	39	4.00
gi|124484839|ref|YP_001029455.1|_2-112_1EXJ:A:3-120	27	4.37
gi|124484839|ref|YP_001029455.1|_159-266_1JYH:A:	49	3.16
gi|124484842|ref|YP_001029458.1|_53-282_1E3D:A:	113	2.32
gi|124484843|ref|YP_001029459.1|_7-159_1CFZ:A:	53	3.06
gi|124484844|ref|YP_001029460.1|_1-438_1CC1:L:	145	3.36
gi|124484848|ref|YP_001029464.1|_24-203_1NP3:A:1-182	64	2.84
gi|124484848|ref|YP_001029464.1|_204-345_1NP3:A:183-327	25	5.80
gi|124484849|ref|YP_001029465.1|_58-347_1OYW:A:1-206	67	3.07
gi|124484850|ref|YP_001029466.1|_116-292_1A9X:A:677-935	75	3.45
gi|124484851|ref|YP_001029467.1|_4-220_1JAY:A:	64	3.31
gi|124484854|ref|YP_001029470.1|_18-496_1V25:A:	175	3.05
gi|124484855|ref|YP_001029471.1|_425-643_3DHW:C:1-240	71	3.38
gi|124484855|ref|YP_001029471.1|_190-413_3DHW:C:1-240	71	3.38
gi|124484861|ref|YP_001029477.1|_4-196_1KRR:A:	99	2.02
gi|124484862|ref|YP_001029478.1|_1-136,386-588_1G6H:A:	81	3.14
gi|124484863|ref|YP_001029479.1|_7-296_1U1J:A:396-760	132	2.77
gi|124484864|ref|YP_001029480.1|_6-147_2HQ9:A:1-148	30	4.93
gi|124484866|ref|YP_001029482.1|_3-64_1UTX:A:	21	3.14
gi|124484867|ref|YP_001029483.1|_1-93_1RJJ:A:	31	3.58
gi|124484868|ref|YP_001029484.1|_113-424_1B8A:A:104-438	103	3.25
gi|124484868|ref|YP_001029484.1|_16-101_1B8A:A:1-103	32	3.22
gi|124484869|ref|YP_001029485.1|_53-205_2AVN:A:1-246	74	3.32
gi|124484870|ref|YP_001029486.1|_48-514_1VR5:A:23-557	182	2.94
gi|124484871|ref|YP_001029487.1|_91-296_2R6G:F:261-504	64	3.81
gi|124484872|ref|YP_001029488.1|_60-252_3DHW:A:6-208	37	5.49
gi|124484873|ref|YP_001029489.1|_4-251_3DHW:C:1-240	71	3.38
gi|124484874|ref|YP_001029490.1|_3-207_1V43:A:7-245	69	3.46
gi|124484875|ref|YP_001029491.1|_32-205_1F2T:A:,B:	88	3.33
