PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gi|171462833|ref|YP_001796946.1|_138-350_1L8Q:A:77-289	0	5	2	9	0	17	9	11	0	213
gi|171462833|ref|YP_001796946.1|_370-473_1J1V:A:	0	0	0	6	0	7	3	3	0	94
gi|171462834|ref|YP_001796947.1|_250-371_2POL:A:245-366	2	8	0	3	0	14	6	6	0	122
gi|171462834|ref|YP_001796947.1|_131-249_2POL:A:123-244	0	6	2	3	0	9	8	2	0	122
gi|171462834|ref|YP_001796947.1|_6-117_2POL:A:1-122	2	8	2	2	0	12	7	5	0	122
gi|171462835|ref|YP_001796948.1|_421-586,758-822_1BJT:A:	7	25	4	20	0	69	43	34	0	760
gi|171462835|ref|YP_001796948.1|_11-237_1EI1:A:2-220	2	11	1	6	0	26	18	12	0	219
gi|171462835|ref|YP_001796948.1|_242-418_1EI1:A:221-392	5	5	0	6	0	12	6	8	0	172
gi|171462836|ref|YP_001796949.1|_16-156_1ML9:A:	5	15	6	5	0	45	22	13	0	284
gi|171462838|ref|YP_001796951.1|_7-248_1G6H:A:	2	11	5	9	0	21	16	17	0	254
gi|171462839|ref|YP_001796952.1|_5-228_1JI0:A:	2	10	1	10	0	19	14	15	0	240
gi|171462840|ref|YP_001796953.1|_34-404_1USG:A:	4	14	6	11	0	33	12	17	0	346
gi|171462843|ref|YP_001796956.1|_6-66,97-262_2CUL:A:2-231	1	16	3	5	0	24	13	15	0	230
gi|171462844|ref|YP_001796957.1|_4-215_1JSX:A:	0	7	1	7	0	17	11	9	0	207
gi|171462845|ref|YP_001796958.1|_1-254_1G3Q:A:	0	8	3	11	0	25	16	14	0	237
gi|171462846|ref|YP_001796959.1|_114-219_1VZ0:A:116-208	0	0	2	7	0	8	3	6	0	93
gi|171462846|ref|YP_001796959.1|_32-123_1VZ0:A:23-115	0	5	1	3	0	7	3	2	0	93
gi|171462847|ref|YP_001796960.1|_99-285_1C17:M:	0	0	0	4	0	5	4	2	0	171
gi|171462848|ref|YP_001796961.1|_7-82_1C99:A:	0	0	1	2	0	2	1	1	0	79
gi|171462849|ref|YP_001796962.1|_62-121_1L2P:A:	0	0	0	1	0	2	0	1	0	61
gi|171462850|ref|YP_001796963.1|_4-105_1ABV:A:	0	0	1	6	0	8	3	4	0	105
gi|171462851|ref|YP_001796964.1|_96-381_1E79:A:95-379	8	11	6	9	0	30	20	18	0	285
gi|171462851|ref|YP_001796964.1|_383-510_1E79:A:380-510	0	0	2	6	0	9	4	6	0	131
gi|171462851|ref|YP_001796964.1|_10-94_1SKY:B:21-95	0	6	1	0	0	7	5	6	0	75
gi|171462852|ref|YP_001796965.1|_2-289_1FS0:G:	0	6	1	5	0	15	11	5	0	230
gi|171462853|ref|YP_001796966.1|_83-353_1E79:D:82-357	4	12	5	8	0	32	21	15	0	276
gi|171462853|ref|YP_001796966.1|_351-465_1E79:D:358-475	0	0	2	6	0	9	7	4	0	118
gi|171462853|ref|YP_001796966.1|_1-81_1FX0:B:19-97	0	6	0	0	0	12	5	4	0	79
gi|171462854|ref|YP_001796967.1|_3-85_1AQT:A:2-86	1	9	1	0	0	5	5	3	0	85
gi|171462854|ref|YP_001796967.1|_87-135_1AQT:A:87-136	0	0	1	2	0	3	1	1	0	50
gi|171462855|ref|YP_001796968.1|_1-338_1URO:A:	1	9	5	16	0	33	22	19	0	357
gi|171462856|ref|YP_001796969.1|_144-326_1D9X:A:415-595	0	5	2	5	0	14	14	14	0	181
gi|171462856|ref|YP_001796969.1|_427-568_1C4O:A:410-583	0	6	2	5	0	15	10	12	0	174
gi|171462857|ref|YP_001796970.1|_5-106_1ONL:A:	3	9	1	4	0	17	7	8	0	127
gi|171462859|ref|YP_001796972.1|_64-155_1KX2:A:	0	0	2	4	0	10	8	9	0	80
gi|171462860|ref|YP_001796973.1|_17-240_1WYZ:A:2-234	0	10	1	9	0	23	14	9	0	233
gi|171462861|ref|YP_001796974.1|_12-197_1X92:A:	0	5	1	8	0	20	6	10	0	194
gi|171462863|ref|YP_001796976.1|_32-162_1VHS:A:	0	7	5	4	0	15	8	8	0	174
gi|171462864|ref|YP_001796977.1|_6-221_1EFC:A:8-204	0	8	1	7	0	20	12	8	0	197
gi|171462864|ref|YP_001796977.1|_304-396_1EFC:A:297-393	2	6	1	0	0	13	3	6	0	97
