PDB_ID	Total_Structures	Average_Length
gi|154149550|ref|YP_001403168.1|_21-300_1FNN:A:1-276	84	3.29
gi|154149550|ref|YP_001403168.1|_306-412_1FNN:A:277-388	24	4.67
gi|154149551|ref|YP_001403169.1|_64-144_1RI7:A:85-170	24	3.58
gi|154149551|ref|YP_001403169.1|_1-60_2CFX:A:1-63	17	3.71
gi|154149552|ref|YP_001403170.1|_4-383_1GDE:A:	115	3.37
gi|154149553|ref|YP_001403171.1|_1-332_1QF5:A:	154	2.80
gi|154149554|ref|YP_001403172.1|_3-58_2PK7:A:3-61	23	2.57
gi|154149557|ref|YP_001403175.1|_22-273_1ZNN:A:18-271	74	3.43
gi|154149558|ref|YP_001403176.1|_6-195_1Q7R:A:	54	4.04
gi|154149559|ref|YP_001403177.1|_172-225_1CLF:A:	25	2.20
gi|154149560|ref|YP_001403178.1|_4-226_1RC2:A:	46	5.02
gi|154149561|ref|YP_001403179.1|_11-226_2B6C:A:3-215	48	4.44
gi|154149562|ref|YP_001403180.1|_7-117_2HZT:A:4-98	28	3.39
gi|154149563|ref|YP_001403181.1|_8-160_1EJE:A:	63	3.05
gi|154149564|ref|YP_001403182.1|_87-144,172-265_2B67:A:1-201	56	3.59
gi|154149564|ref|YP_001403182.1|_3-69_7FD1:A:	44	2.41
gi|154149565|ref|YP_001403183.1|_2-256_2AF7:A:1-119	27	4.41
gi|154149566|ref|YP_001403184.1|_1-188_1RLI:A:	49	3.65
gi|154149567|ref|YP_001403185.1|_1-217_1RLI:A:	49	3.65
gi|154149568|ref|YP_001403186.1|_1-63,90-190_1NOX:A:	54	3.70
gi|154149569|ref|YP_001403187.1|_12-54_1T0Q:A:	126	3.90
gi|154149570|ref|YP_001403188.1|_8-140_1NYO:A:	65	2.51
gi|154149571|ref|YP_001403189.1|_70-437,480-553_1PEQ:A:175-699	163	3.22
gi|154149571|ref|YP_001403189.1|_26-69_1PEQ:A:13-174	51	3.18
gi|154149575|ref|YP_001403193.1|_6-136_2FUG:6:15-175	51	3.16
gi|154149576|ref|YP_001403194.1|_4-107_2FUG:5:1-196	67	2.93
gi|154149577|ref|YP_001403195.1|_15-359_2FUG:4:35-409	109	3.44
gi|154149578|ref|YP_001403196.1|_36-110_2FUG:9:26-179	70	2.20
gi|154149580|ref|YP_001403198.1|_40-118_2OAR:A:10-118	20	5.90
gi|154149583|ref|YP_001403201.1|_3-391_1VBG:A:3-382	104	3.65
gi|154149583|ref|YP_001403201.1|_471-799_1H6Z:A:538-903	110	3.33
gi|154149583|ref|YP_001403201.1|_353-471_1H6Z:A:406-537	49	2.69
gi|154149584|ref|YP_001403202.1|_214-434_1SU1:A:	64	2.88
gi|154149586|ref|YP_001403204.1|_52-140,208-268_1B12:A:	86	2.87
gi|154149587|ref|YP_001403205.1|_15-355_1OLT:A:	137	3.22
gi|154149588|ref|YP_001403206.1|_5-99_1QW2:A:	38	2.66
gi|154149589|ref|YP_001403207.1|_16-350_1R30:A:	98	3.18
gi|154149590|ref|YP_001403208.1|_1-150_2FG9:A:1-157	41	3.83
gi|154149592|ref|YP_001403210.1|_10-193_2QED:A:1-251	81	3.10
gi|154149594|ref|YP_001403212.1|_155-167,210-289,343-379_1KT1:A:254-421	30	5.60
gi|154149595|ref|YP_001403213.1|_1-107_1VC1:A:	31	3.55
gi|154149596|ref|YP_001403214.1|_46-153_1VC1:A:	31	3.55
gi|154149597|ref|YP_001403215.1|_14-149_1P0H:A:	75	4.11
gi|154149598|ref|YP_001403216.1|_1-169_2HIY:A:1-180	53	3.40
gi|154149599|ref|YP_001403217.1|_4-130_1XO8:A:	45	3.36
gi|154149601|ref|YP_001403219.1|_4-128_1O4V:A:	39	4.33
gi|154149602|ref|YP_001403220.1|_5-357_1VJO:A:	114	3.31
gi|154149603|ref|YP_001403221.1|_1-133_1RVV:1:	39	3.95
gi|154149604|ref|YP_001403222.1|_3-138_1RVV:1:	39	3.95
gi|154149605|ref|YP_001403223.1|_1-376_1J32:A:	117	3.32
gi|154149606|ref|YP_001403224.1|_4-191,240-412,439-469_1PV7:A:	68	6.13
gi|154149607|ref|YP_001403225.1|_64-264_1XXL:A:	69	3.45
gi|154149609|ref|YP_001403227.1|_14-230_1F3O:A:	70	3.31
gi|154149612|ref|YP_001403230.1|_26-424_1V8Z:A:1-386	116	3.33
gi|154149613|ref|YP_001403231.1|_82-136_1U0T:A:	86	3.51
gi|154149615|ref|YP_001403233.1|_30-621_1PG4:A:	222	2.90
gi|154149616|ref|YP_001403234.1|_1-289_1T5J:A:	84	3.71
gi|154149617|ref|YP_001403235.1|_1-158_1VKN:A:1-144,A:308-339	59	3.00
gi|154149617|ref|YP_001403235.1|_143-296_1VKN:A:145-307	52	3.13
gi|154149618|ref|YP_001403236.1|_1-151_1PVM:A:1-142	53	2.68
gi|154149619|ref|YP_001403237.1|_12-381_1VZ6:A:	99	3.87
gi|154149620|ref|YP_001403238.1|_3-289_2BTY:A:1-282	88	3.20
gi|154149621|ref|YP_001403239.1|_30-131_1FO5:A:	24	3.54
gi|154149623|ref|YP_001403241.1|_36-115_2GTV:X:1-93	18	5.61
gi|154149625|ref|YP_001403243.1|_1-197_1RLI:A:	49	3.65
gi|154149626|ref|YP_001403244.1|_1-190_1RLI:A:	49	3.65
gi|154149627|ref|YP_001403245.1|_26-134_2AF7:A:1-119	27	4.41
gi|154149628|ref|YP_001403246.1|_7-38_1DXG:A:	17	2.12
gi|154149629|ref|YP_001403247.1|_3-193_1RLI:A:	49	3.65
gi|154149631|ref|YP_001403249.1|_2-127_1NNQ:A:2-134	16	8.31
gi|154149631|ref|YP_001403249.1|_132-164_1NNQ:A:135-171	20	1.85
gi|154149632|ref|YP_001403250.1|_30-239_1A8D:A:1-247	81	3.05
gi|154149633|ref|YP_001403251.1|_79-380_1HYU:A:326-451	42	3.00
gi|154149633|ref|YP_001403251.1|_4-76_1FOV:A:	28	2.93
gi|154149634|ref|YP_001403252.1|_2-99_1KF6:B:1-105	38	2.76
gi|154149634|ref|YP_001403252.1|_118-218_2BS2:B:107-239	39	3.44
gi|154149635|ref|YP_001403253.1|_5-253,349-400_1KF6:A:0-225,A:358-442	106	2.94
gi|154149635|ref|YP_001403253.1|_226-345_1NEK:A:236-355	42	2.86
gi|154149635|ref|YP_001403253.1|_426-519_1CHU:A:423-533	28	3.96
gi|154149636|ref|YP_001403254.1|_4-300_2HMF:A:2-303	87	3.47
gi|154149636|ref|YP_001403254.1|_382-461_2HMF:A:404-470	17	3.94
gi|154149636|ref|YP_001403254.1|_306-378_2HMF:A:304-403	23	4.35
gi|154149637|ref|YP_001403255.1|_164-322_1CLI:A:171-345	55	3.18
