PDB_ID	Total_Structures	Average_Length
gi|171462833|ref|YP_001796946.1|_138-350_1L8Q:A:77-289	53	4.02
gi|171462833|ref|YP_001796946.1|_370-473_1J1V:A:	19	4.95
gi|171462834|ref|YP_001796947.1|_250-371_2POL:A:245-366	39	3.13
gi|171462834|ref|YP_001796947.1|_131-249_2POL:A:123-244	30	4.07
gi|171462834|ref|YP_001796947.1|_6-117_2POL:A:1-122	38	3.21
gi|171462835|ref|YP_001796948.1|_421-586,758-822_1BJT:A:	202	3.76
gi|171462835|ref|YP_001796948.1|_11-237_1EI1:A:2-220	76	2.88
gi|171462835|ref|YP_001796948.1|_242-418_1EI1:A:221-392	42	4.10
gi|171462836|ref|YP_001796949.1|_16-156_1ML9:A:	111	2.56
gi|171462838|ref|YP_001796951.1|_7-248_1G6H:A:	81	3.14
gi|171462839|ref|YP_001796952.1|_5-228_1JI0:A:	71	3.38
gi|171462840|ref|YP_001796953.1|_34-404_1USG:A:	97	3.57
gi|171462843|ref|YP_001796956.1|_6-66,97-262_2CUL:A:2-231	77	2.99
gi|171462844|ref|YP_001796957.1|_4-215_1JSX:A:	52	3.98
gi|171462845|ref|YP_001796958.1|_1-254_1G3Q:A:	77	3.08
gi|171462846|ref|YP_001796959.1|_114-219_1VZ0:A:116-208	26	3.58
gi|171462846|ref|YP_001796959.1|_32-123_1VZ0:A:23-115	21	4.43
gi|171462847|ref|YP_001796960.1|_99-285_1C17:M:	15	11.40
gi|171462848|ref|YP_001796961.1|_7-82_1C99:A:	7	11.29
gi|171462849|ref|YP_001796962.1|_62-121_1L2P:A:	4	15.25
gi|171462850|ref|YP_001796963.1|_4-105_1ABV:A:	22	4.77
gi|171462851|ref|YP_001796964.1|_96-381_1E79:A:95-379	102	2.79
gi|171462851|ref|YP_001796964.1|_383-510_1E79:A:380-510	27	4.85
gi|171462851|ref|YP_001796964.1|_10-94_1SKY:B:21-95	25	3.00
gi|171462852|ref|YP_001796965.1|_2-289_1FS0:G:	43	5.35
gi|171462853|ref|YP_001796966.1|_83-353_1E79:D:82-357	97	2.85
gi|171462853|ref|YP_001796966.1|_351-465_1E79:D:358-475	28	4.21
gi|171462853|ref|YP_001796966.1|_1-81_1FX0:B:19-97	27	2.93
gi|171462854|ref|YP_001796967.1|_3-85_1AQT:A:2-86	24	3.54
gi|171462854|ref|YP_001796967.1|_87-135_1AQT:A:87-136	8	6.25
gi|171462855|ref|YP_001796968.1|_1-338_1URO:A:	105	3.40
gi|171462856|ref|YP_001796969.1|_144-326_1D9X:A:415-595	54	3.35
gi|171462856|ref|YP_001796969.1|_427-568_1C4O:A:410-583	50	3.48
gi|171462857|ref|YP_001796970.1|_5-106_1ONL:A:	49	2.59
gi|171462859|ref|YP_001796972.1|_64-155_1KX2:A:	33	2.42
gi|171462860|ref|YP_001796973.1|_17-240_1WYZ:A:2-234	66	3.53
gi|171462861|ref|YP_001796974.1|_12-197_1X92:A:	50	3.88
gi|171462863|ref|YP_001796976.1|_32-162_1VHS:A:	47	3.70
gi|171462864|ref|YP_001796977.1|_6-221_1EFC:A:8-204	56	3.52
gi|171462864|ref|YP_001796977.1|_304-396_1EFC:A:297-393	31	3.13
gi|171462864|ref|YP_001796977.1|_207-303_1EFC:A:205-296	37	2.49
gi|171462866|ref|YP_001796979.1|_16-125_1NZ8:A:	35	3.40
gi|171462866|ref|YP_001796979.1|_134-189_1M1G:A:191-248	18	3.22
gi|171462867|ref|YP_001796980.1|_3-73_2GYC:G:2-72	25	2.84
gi|171462867|ref|YP_001796980.1|_68-141_1HC8:A:	20	3.70
gi|171462868|ref|YP_001796981.1|_6-225_1AD2:A:	83	2.70
gi|171462869|ref|YP_001796982.1|_4-159_1ZAV:A:1-177	39	4.54
gi|171462870|ref|YP_001796983.1|_55-125_1CTF:A:	17	4.00
gi|171462870|ref|YP_001796983.1|_3-49_1RQU:A:1-51	12	4.25
gi|171462871|ref|YP_001796984.1|_6-243,353-709,765-941,1062-1146,1198-1364_1IW7:C:	421	2.66
gi|171462872|ref|YP_001796985.1|_15-1075,1107-1273,1314-1372_1I6V:D:	378	3.26
gi|171462874|ref|YP_001796987.1|_2-124_2QAL:L:1-123	50	2.46
gi|171462875|ref|YP_001796988.1|_1-149_2QAL:G:2-151	32	4.69
gi|171462876|ref|YP_001796989.1|_6-288_2BV3:A:7-282	72	3.83
gi|171462876|ref|YP_001796989.1|_484-605_2BV3:A:479-599	37	3.27
gi|171462876|ref|YP_001796989.1|_255-281,310-407_2BV3:A:283-403	46	2.63
gi|171462876|ref|YP_001796989.1|_609-695_2BV3:A:600-688	18	4.94
gi|171462876|ref|YP_001796989.1|_409-486_1FNM:A:404-482	20	3.95
gi|171462877|ref|YP_001796990.1|_6-221_1EFC:A:8-204	56	3.52
gi|171462877|ref|YP_001796990.1|_304-396_1EFC:A:297-393	31	3.13
gi|171462877|ref|YP_001796990.1|_207-303_1EFC:A:205-296	37	2.49
gi|171462878|ref|YP_001796991.1|_5-102_2QAL:J:5-102	33	2.97
gi|171462879|ref|YP_001796992.1|_2-216_2GYC:B:1-209	68	3.07
gi|171462880|ref|YP_001796993.1|_2-205_2GYC:C:1-198	74	2.68
gi|171462881|ref|YP_001796994.1|_7-97_2QAM:T:1-93	33	2.82
gi|171462882|ref|YP_001796995.1|_128-273_2QAM:C:125-269	69	2.10
gi|171462882|ref|YP_001796995.1|_3-126_2J01:D:2-126	53	2.36
gi|171462883|ref|YP_001796996.1|_3-84_2GY9:S:2-80	35	2.26
gi|171462884|ref|YP_001796997.1|_3-110_2GYC:Q:5-110	33	3.21
gi|171462885|ref|YP_001796998.1|_108-206_2QAL:C:106-206	33	3.06
gi|171462885|ref|YP_001796998.1|_2-106_2QAL:C:1-105	33	3.18
gi|171462886|ref|YP_001796999.1|_1-134_2GYA:K:3-133	49	2.67
gi|171462887|ref|YP_001797000.1|_1-61_2GYA:W:1-60	12	5.00
gi|171462888|ref|YP_001797001.1|_9-85_1FJG:Q:	21	4.95
gi|171462889|ref|YP_001797002.1|_1-122_2GYC:I:2-122	61	1.98
gi|171462890|ref|YP_001797003.1|_3-97_2GYA:S:3-101	41	2.41
gi|171462891|ref|YP_001797004.1|_4-180_2GYC:D:2-178	58	3.05
gi|171462892|ref|YP_001797005.1|_2-101_2QAL:N:1-100	33	3.03
gi|171462893|ref|YP_001797006.1|_3-130_1S03:G:	47	2.68
