PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gi|11497624|ref|NP_068844.1|_33-152_1SMB:A:	0.00	6.25	4.00	10.17	0.00	2.62	1.29	2.00	0.00	149.00
gi|11497625|ref|NP_068845.1|_333-525_1VPL:A:	1.00	6.20	4.00	9.89	0.00	1.72	1.33	2.27	0.00	238.00
gi|11497625|ref|NP_068845.1|_87-279_1VPL:A:	1.00	6.20	4.00	9.89	0.00	1.72	1.33	2.27	0.00	238.00
gi|11497625|ref|NP_068845.1|_6-123_1FEH:A:127-209	0.00	3.80	3.00	7.50	0.00	2.62	1.43	1.80	0.00	83.00
gi|11497627|ref|NP_068847.1|_70-208_1BMT:A:741-896	0.00	4.40	3.00	12.17	0.00	1.65	1.62	2.12	0.00	156.00
gi|11497627|ref|NP_068847.1|_4-83_1BMT:A:651-740	0.00	0.00	0.00	12.60	0.00	1.60	1.80	1.67	0.00	90.00
gi|11497628|ref|NP_068848.1|_7-73,118-417_1URO:A:	1.00	4.33	4.00	10.44	0.00	1.82	1.59	1.84	0.00	357.00
gi|11497629|ref|NP_068849.1|_4-404_1PV7:A:	0.00	0.00	4.00	15.09	0.00	1.72	1.67	1.86	0.00	417.00
gi|161511074|ref|NP_068850.2|_22-257_1F6Y:A:	1.00	4.62	4.00	12.40	0.00	1.70	1.43	1.79	0.00	262.00
gi|11497631|ref|NP_068851.1|_2-92_1B9R:A:	1.00	3.50	3.00	5.33	0.00	2.79	1.29	1.92	0.00	105.00
gi|11497632|ref|NP_068852.1|_99-237_1BMT:A:741-896	0.00	4.40	3.00	12.17	0.00	1.65	1.62	2.12	0.00	156.00
gi|11497632|ref|NP_068852.1|_30-112_1BMT:A:651-740	0.00	0.00	0.00	12.60	0.00	1.60	1.80	1.67	0.00	90.00
gi|11497633|ref|NP_068853.1|_7-74,119-416_1URO:A:	1.00	4.33	4.00	10.44	0.00	1.82	1.59	1.84	0.00	357.00
gi|11497634|ref|NP_068854.1|_5-397_1PW4:A:	1.00	0.00	5.00	17.67	0.00	2.95	1.44	1.68	0.00	450.00
gi|11497637|ref|NP_068857.1|_5-180_1H21:A:	1.00	0.00	4.40	15.71	0.00	2.19	1.25	2.00	0.00	240.00
gi|11497638|ref|NP_068858.1|_404-661_2DUB:A:	1.00	4.20	3.75	9.82	0.00	1.88	1.29	1.93	0.00	259.00
gi|11497638|ref|NP_068858.1|_4-186_1F0Y:A:12-203	0.00	4.75	3.00	11.14	0.00	1.50	1.50	2.00	0.00	192.00
gi|11497638|ref|NP_068858.1|_304-413_3HDH:A:204-302	1.00	0.00	3.00	11.60	0.00	1.62	2.33	3.00	0.00	99.00
gi|11497638|ref|NP_068858.1|_189-295_1F0Y:A:204-302	1.00	0.00	3.00	11.60	0.00	1.62	2.33	3.00	0.00	99.00
gi|11497639|ref|NP_068859.1|_2-224_1AFW:A:294-417	1.00	7.75	4.00	10.00	0.00	1.67	1.00	2.00	0.00	124.00
gi|11497639|ref|NP_068859.1|_228-379_1AFW:A:294-417	1.00	7.75	4.00	10.00	0.00	1.67	1.00	2.00	0.00	124.00
gi|11497640|ref|NP_068860.1|_29-145_2GNR:A:8-144	1.00	4.91	3.00	14.50	0.00	1.42	1.33	2.50	0.00	137.00
gi|11497641|ref|NP_068861.1|_6-418_1XK7:A:4-405	1.25	4.64	3.25	9.47	0.00	2.03	1.71	2.13	0.00	405.00
gi|11497642|ref|NP_068862.1|_187-322_2C2A:A:321-481	0.00	6.71	3.00	15.00	0.00	2.92	1.50	1.90	0.00	161.00
gi|11497642|ref|NP_068862.1|_5-108_1EW0:A:	1.00	7.80	3.50	7.80	0.00	1.55	1.25	2.00	0.00	130.00
gi|11497643|ref|NP_068863.1|_1-91_1VJK:A:	1.00	5.50	5.00	8.50	0.00	2.08	2.00	1.83	0.00	97.00
gi|11497644|ref|NP_068864.1|_212-591_1AOR:A:211-605	1.00	3.80	3.25	9.43	0.00	1.92	1.44	1.77	0.00	395.00
gi|11497644|ref|NP_068864.1|_1-205_1AOR:A:1-210	1.00	5.25	0.00	8.00	0.00	1.61	1.57	2.44	0.00	210.00
gi|11497645|ref|NP_068865.1|_32-414_1RRM:A:	1.00	4.70	3.44	13.79	0.00	1.72	1.29	2.00	0.00	385.00
gi|11497646|ref|NP_068866.1|_4-390_1PW4:A:	1.00	0.00	5.00	17.67	0.00	2.95	1.44	1.68	0.00	450.00
