PDB_ID	Total_Structures	Average_Length
CHGT_01841_2-172_1ZVF:A:1-175	64	2.73
CHGT_09682_1-153_1ROC:A:	53	2.91
CHGT_05687_133-430_1M33:A:	84	3.05
CHGT_08164_9-270_1GXR:A:	119	2.82
CHGT_05593_19-179,210-328_1MUO:A:	86	3.03
CHGT_07993_1-116_1GNU:A:	43	2.72
CHGT_00005_337-582_2HYD:A:324-578	88	2.90
CHGT_00005_14-318_1PF4:A:10-320	62	5.00
CHGT_10605_36-216,264-436_1PW4:A:	82	5.49
CHGT_00516_25-239_1VZO:A:	99	3.25
CHGT_05676_63-299_1NRK:A:1-243	75	3.24
CHGT_07277_2-148_1RFJ:A:	39	3.79
CHGT_04514_212-422_1A9X:B:1653-1880	72	3.17
CHGT_04514_61-205_1A9X:B:1502-1652	57	2.65
CHGT_07510_1-244_1HYQ:A:	65	3.57
CHGT_04336_156-196,253-304_1JJ7:A:	90	2.79
CHGT_04634_85-290_1HV8:A:3-210	68	3.06
CHGT_04634_228-309,345-466_1HV8:A:211-365	50	3.10
CHGT_05545_208-496_1WRB:A:164-401	73	3.26
CHGT_08370_261-561_1WRB:A:164-401	73	3.26
CHGT_04005_125-409_1S2M:A:46-251	68	3.03
CHGT_00697_144-428_2G2J:A:307-474	52	3.42
CHGT_04949_133-380_1WRB:A:164-401	73	3.26
CHGT_04949_181-251,481-583_2J0S:A:244-411	52	3.23
CHGT_02457_284-569_1WRB:A:164-401	73	3.26
CHGT_05918_20-54,88-179_2IF1:A:	51	2.45
CHGT_09861_79-365_1S2M:A:252-422	56	3.05
CHGT_04776_38-329_1TE4:A:	34	3.26
CHGT_03093_197-508_1U2Z:A:	124	3.27
CHGT_01354_96-381_2BV3:A:7-282	72	3.83
CHGT_01354_576-696_2BV3:A:479-599	37	3.27
CHGT_01354_347-374,404-499_2BV3:A:283-403	46	2.63
CHGT_01354_499-576_1FNM:A:404-482	20	3.95
CHGT_01354_701-789_2BV3:A:600-688	18	4.94
CHGT_06384_77-167,312-397,431-491,521-586_1GW5:A:	139	4.46
CHGT_10951_171-343,400-613_1XFD:A:127-591	159	2.92
CHGT_10951_63-132_2CPF:A:362-446	29	2.93
CHGT_05534_705-776_1UFM:A:	24	3.46
CHGT_02352_344-421_1UFM:A:	24	3.46
CHGT_04600_208-301_2CQ0:A:231-320	30	3.00
CHGT_08676_5-314_2OVR:B:2365-2706	116	2.95
CHGT_03888_5-97_1F8H:A:	31	3.06
CHGT_03888_125-224_1F8H:A:	31	3.06
CHGT_05832_5-239_2G80:A:17-241	80	2.81
CHGT_01594_388-508,558-781_1VYH:C:92-408	107	2.96
CHGT_07659_95-381_2J0S:A:244-411	52	3.23
CHGT_07157_82-209_1XQR:A:87-350	58	4.60
CHGT_04849_10-142_1Y8M:A:1-138	31	4.45
CHGT_00456_39-111_2EY4:C:1-73	29	2.52
CHGT_07193_23-329_1F48:A:1-296	92	3.22
CHGT_08314_8-111_2JSS:A:96-192	29	3.34
CHGT_00466_20-135_1ID3:D:	19	4.89
CHGT_10296_2-134_1KX5:A:	42	3.21
CHGT_10683_106-321_1HV8:A:3-210	68	3.06
CHGT_10683_256-466_2J0S:A:244-411	52	3.23
CHGT_09055_19-377_1ERJ:A:	123	3.15
CHGT_03814_5-339_2GFS:A:5-352	103	3.38
CHGT_08899_9-148_1ELK:A:	37	4.14
CHGT_08899_225-310_1OOT:A:	26	2.23
CHGT_00963_92-380_2J0S:A:244-411	52	3.23
CHGT_00963_60-102_2G9N:A:21-238	63	3.46
CHGT_04626_1332-1439_1O7F:A:180-321	40	3.55
CHGT_03083_558-583,638-715_1FI6:A:	24	3.83
CHGT_10848_18-179,237-349_2OVR:B:2365-2706	116	2.95
CHGT_07998_44-237_1AKY:A:3-130,A:169-220	43	4.21
CHGT_07268_15-323_1OKJ:A:1-106	24	4.42
CHGT_05274_15-442_1MWV:A:35-440	150	2.70
CHGT_05274_442-739_1MWV:A:441-748	254	2.81
CHGT_09786_6-195,309-429_1FL2:A:212-325,A:452-521	73	2.53
CHGT_04713_271-528_1JEY:A:254-534	83	3.39
CHGT_04713_28-266_1JEY:A:34-253	59	3.73
CHGT_04713_571-619_1JEQ:A:559-609	13	3.92
CHGT_05790_224-564_1JEY:B:242-545	81	3.75
CHGT_05790_3-239_1JEY:B:6-241	63	3.75
CHGT_05790_560-722_1RW2:A:	43	3.51
CHGT_03057_78-501_1QZ9:A:	135	2.99
CHGT_05403_31-49,94-334,369-537_1QZ9:A:	135	2.99
CHGT_07133_217-458_1HS6:A:209-460	65	3.88
CHGT_07133_464-607_1HS6:A:461-610	33	4.55
CHGT_07133_3-206_1HS6:A:1-208	63	3.30
CHGT_10628_75-531_1ACO:A:2-528	180	2.93
CHGT_10628_610-793_1V7L:A:	63	2.57
CHGT_04567_36-285_2I09:A:2-107,A:227-403	100	2.82
CHGT_00852_189-346_1UMK:A:154-300	50	2.94
CHGT_00852_95-202_1NDH:A:3-125	45	2.73
CHGT_09411_115-207_1YKH:A:111-205	10	9.50
CHGT_06561_171-390_1I2D:A:171-390	78	2.82
CHGT_06561_4-170_1I2D:A:2-170	61	2.77
CHGT_06561_391-502,539-571_1I2D:A:391-573	52	3.52
CHGT_04239_65-265_1I01:A:	66	3.65
CHGT_01489_24-409,437-465_1P3W:A:	122	3.20
CHGT_01489_488-631_2EXN:A:1-128	44	2.73
CHGT_00778_232-382,530-671_1WP9:A:201-486	70	4.09
CHGT_05836_199-227,268-463,498-555_1WRB:A:164-401	73	3.26
CHGT_01070_542-849_1EWQ:A:267-541	57	4.82
CHGT_01070_855-1107_1E3M:A:567-800	66	3.55
CHGT_01070_224-346_1EWQ:A:1-120	35	3.43
CHGT_04059_5-212_1MV8:A:1-202	70	2.89
CHGT_04059_213-394_1LJ8:A:287-492	52	3.96
CHGT_01485_23-248_1JDI:A:	66	3.38
CHGT_01722_34-760_1LKX:A:	183	3.74
CHGT_01722_1055-1138_1HSQ:A:	29	2.41
CHGT_01403_72-84,127-479_1HFE:L:87-398	102	3.06
CHGT_03829_64-312_1G3Q:A:	77	3.08
CHGT_03812_77-286_1LCY:A:6-210	61	3.36
CHGT_03812_515-758_1KY9:A:11-259	62	4.02
CHGT_03812_334-420_1KY9:A:260-353	41	2.29
CHGT_03812_905-974_1KY9:A:260-353	41	2.29
CHGT_03812_822-900_1KY9:A:260-353	41	2.29
CHGT_08926_61-234_1CVJ:A:11-90	27	2.96
CHGT_08926_246-383_1P1T:A:	37	2.81
CHGT_08926_614-757_1JGN:A:	25	3.88
CHGT_08926_427-482_1X5S:A:8-97	28	3.18
CHGT_03282_434-532_1F8H:A:	31	3.06
CHGT_03282_169-269_1F8H:A:	31	3.06
CHGT_01953_362-476_1CDZ:A:	38	2.53
CHGT_02900_383-723_1OXW:A:	109	3.30
CHGT_00986_100-485,523-753_1S4B:P:	163	4.01
CHGT_01444_344-443,474-659_1WRB:A:164-401	73	3.26
CHGT_02816_502-787_1WRB:A:164-401	73	3.26
CHGT_01647_3-163_2E9X:A:1-144	28	5.14
CHGT_10099_50-124_2E9X:C:1088-1192	25	4.20
CHGT_10099_1-37_2E9X:B:1-61	23	2.65
CHGT_01947_273-311,353-559_2J0S:A:244-411	52	3.23
CHGT_04288_134-421_1HV8:A:3-210	68	3.06
CHGT_08129_14-202_1VI6:A:	64	3.02
CHGT_03716_95-363_2GCL:A:237-474	63	3.78
CHGT_05907_12-316_1OKC:A:	55	5.31
CHGT_00390_259-387,460-479_2EF7:A:1-127	47	2.70
CHGT_00390_92-253_2YZI:A:4-135	52	2.54
CHGT_09028_3-276_1ERJ:A:	123	3.15
CHGT_02604_129-396_1M2O:A:120-390	79	3.43
CHGT_02604_10-68,413-520_1M2O:A:2-44,A:391-523	64	2.77
CHGT_02604_624-769_1M2O:A:627-765	42	3.31
CHGT_02604_521-623_1M2O:A:524-626	29	3.55
CHGT_02604_51-124_1M2O:A:45-119	34	2.21
CHGT_00441_342-587_1M2V:B:301-552	66	3.82
CHGT_00441_100-255,588-682_1M2V:B:61-215,B:553-646	63	3.97
CHGT_00441_789-946_1M2V:B:754-926	44	3.93
CHGT_00441_683-788_1M2V:B:647-753	26	4.12
CHGT_00441_258-341_1M2V:B:216-300	39	2.18
CHGT_07916_13-324_1P22:A:253-545	100	2.93
