PDB_ID	Total_Structures	Average_Length
gi|76800658|ref|YP_325666.1|_371-613_2HYD:A:324-578	88	2.90
gi|76800658|ref|YP_325666.1|_25-359_2HYD:A:1-323	43	7.51
gi|76800659|ref|YP_325667.1|_74-279_1UC8:A:89-280	45	4.27
gi|76800660|ref|YP_325668.1|_34-115_1SHS:A:	39	2.95
gi|76800661|ref|YP_325669.1|_141-302_1CF2:O:139-303	50	3.30
gi|76800661|ref|YP_325669.1|_3-160_2CZC:A:1-139,A:302-334	61	2.84
gi|76800662|ref|YP_325670.1|_14-319_1ZJC:A:3-415	126	3.28
gi|76800664|ref|YP_325672.1|_4-208_1JG1:A:	74	2.91
gi|76800665|ref|YP_325673.1|_8-180_1JG1:A:	74	2.91
gi|76800669|ref|YP_325677.1|_5-144_1NXO:A:	31	3.84
gi|76800670|ref|YP_325678.1|_255-379_1PBJ:A:2-121	41	2.93
gi|76800671|ref|YP_325679.1|_3-255_1UIY:A:	73	3.47
gi|76800673|ref|YP_325681.1|_1-139_1MJH:A:	38	4.21
gi|76800674|ref|YP_325682.1|_3-166_1FF3:A:	70	3.01
gi|76800676|ref|YP_325684.1|_631-747_1WJG:A:	36	3.75
gi|76800676|ref|YP_325684.1|_491-624_1WJG:A:	36	3.75
gi|76800677|ref|YP_325685.1|_6-137_1WJG:A:	36	3.75
gi|76800679|ref|YP_325687.1|_14-135_1XM0:A:1-143	53	2.70
gi|76800680|ref|YP_325688.1|_61-161_1PLB:A:	43	2.26
gi|76800681|ref|YP_325689.1|_5-253_1JW9:B:	74	3.34
gi|76800682|ref|YP_325690.1|_8-266_1XNG:A:3-257	66	3.86
gi|76800683|ref|YP_325691.1|_1-140_1MJH:A:	38	4.21
gi|76800685|ref|YP_325693.1|_235-490_2CH7:B:225-529	12	25.67
gi|76800685|ref|YP_325693.1|_17-188_1OR4:A:	31	5.45
gi|76800686|ref|YP_325694.1|_1-130_1OI0:A:	38	3.18
gi|76800687|ref|YP_325695.1|_3-284_1N2Z:A:	84	2.92
gi|76800688|ref|YP_325696.1|_112-458_1IQ0:A:97-466	103	3.59
gi|76800688|ref|YP_325696.1|_461-580_1BS2:A:484-607	27	4.59
gi|76800688|ref|YP_325696.1|_6-98_1IQ0:A:1-96	30	3.20
gi|76800690|ref|YP_325698.1|_57-266_1TV8:A:	108	3.03
gi|76800691|ref|YP_325699.1|_98-230_3CTA:A:90-220	30	4.37
gi|76800691|ref|YP_325699.1|_31-92_3CTA:A:5-89	20	4.25
gi|76800692|ref|YP_325700.1|_13-238_1PVY:A:	64	3.42
gi|76800693|ref|YP_325701.1|_117-454_1F52:A:101-468	113	3.26
gi|76800693|ref|YP_325701.1|_17-114_1HTQ:A:1-100	34	2.94
gi|76800694|ref|YP_325702.1|_63-144_1RI7:A:85-170	24	3.58
