PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gnl|GLV|CAGL0C04114g_40-134_1ID3:A:	0	2	0	4	0	9	3	4	0	97
gnl|GLV|CAGL0H09856g_40-134_1ID3:A:	0	2	0	4	0	9	3	4	0	97
gnl|GLV|CAGL0M06655g_40-134_1ID3:A:	0	2	0	4	0	9	3	4	0	97
gnl|GLV|CAGL0K12694g_149-374_1YAG:A:147-375	0	9	6	10	0	25	15	15	0	229
gnl|GLV|CAGL0K12694g_7-146_1YAG:A:4-146	0	10	2	4	0	16	11	9	0	143
gnl|GLV|CAGL0L04840g_22-143_1FJG:L:	1	6	1	1	0	20	8	9	0	125
gnl|GLV|CAGL0J03058g_13-533_1DQU:A:	3	13	5	23	0	50	31	25	0	519
gnl|GLV|CAGL0J04268g_239-518_2G39:A:224-497	2	17	5	10	0	29	21	17	0	274
gnl|GLV|CAGL0J04268g_8-237_2G39:A:3-223	10	9	3	6	0	25	19	14	0	221
gnl|GLV|CAGL0A03740g_137-308_1W07:A:2-272	6	11	5	8	0	26	14	14	0	271
gnl|GLV|CAGL0A03740g_550-715_1IS2:A:475-655	0	0	3	10	0	10	6	12	0	181
gnl|GLV|CAGL0A03740g_331-506_1IS2:A:272-460	3	0	4	6	0	10	7	7	0	189
gnl|GLV|CAGL0L00649g_65-699_1RY2:A:	13	28	0	20	0	87	54	43	0	640
gnl|GLV|CAGL0B02717g_40-667_1RY2:A:	13	28	0	20	0	87	54	43	0	640
gnl|GLV|CAGL0J05984g_6-345_1A4M:A:	2	8	6	15	0	34	19	18	0	349
gnl|GLV|CAGL0M08712g_57-280_1UOH:A:	0	0	1	14	0	27	7	20	0	223
gnl|GLV|CAGL0D01122g_50-494_2BIS:A:1-437	4	17	6	16	0	48	27	24	0	437
gnl|GLV|CAGL0K12342g_52-430_2F9F:A:2-167	2	6	1	7	0	19	11	10	0	166
gnl|GLV|CAGL0M05731g_5-427_2F9F:A:2-167	2	6	1	7	0	19	11	10	0	166
gnl|GLV|CAGL0H04125g_8-194_1W1O:A:40-245	2	10	2	6	0	23	19	14	0	206
gnl|GLV|CAGL0H07491g_252-452_1FQV:A:146-431	8	13	3	8	0	55	21	24	0	286
gnl|GLV|CAGL0I04180g_1-41_1CO4:A:	0	3	1	0	0	6	4	2	0	42
gnl|GLV|CAGL0D02398g_11-223_1FJ2:A:	2	9	5	5	0	26	16	11	0	231
gnl|GLV|CAGL0B01507g_28-423_1VEF:A:9-395	3	17	2	15	0	38	24	27	0	387
gnl|GLV|CAGL0M03201g_165-311,385-488_1C0G:A:147-375	0	9	6	10	0	23	12	12	0	229
gnl|GLV|CAGL0M03201g_12-170_1C0G:A:1-146	0	10	2	4	0	13	10	8	0	146
gnl|GLV|CAGL0L12166g_174-415_1YAG:A:147-375	0	9	6	10	0	25	15	15	0	229
gnl|GLV|CAGL0L12166g_5-139_1YAG:A:4-146	0	10	2	4	0	16	11	9	0	143
gnl|GLV|CAGL0L06314g_9-232_1XGS:A:1-194,A:272-295	7	13	0	4	0	29	8	16	1	218
gnl|GLV|CAGL0L05412g_1-155_1ROC:A:	0	10	2	2	0	19	14	6	0	154
gnl|GLV|CAGL0K06765g_97-180_1WZ3:A:10-93	4	4	0	2	0	10	6	6	0	84
gnl|GLV|CAGL0J03542g_150-412_1UWC:A:	2	13	3	7	0	25	14	17	0	260
