PDB_ID	B	E	G	H	I	L	S	T	X	sequence_length
gi|76800658|ref|YP_325666.1|_371-613_2HYD:A:324-578	2	10	5	9	0	25	21	16	0	255
gi|76800658|ref|YP_325666.1|_25-359_2HYD:A:1-323	0	0	1	15	1	9	5	12	0	323
gi|76800659|ref|YP_325667.1|_74-279_1UC8:A:89-280	2	8	0	6	0	15	6	8	0	192
gi|76800660|ref|YP_325668.1|_34-115_1SHS:A:	2	10	3	0	0	16	4	4	0	115
gi|76800661|ref|YP_325669.1|_141-302_1CF2:O:139-303	0	8	2	4	0	17	10	9	0	165
gi|76800661|ref|YP_325669.1|_3-160_2CZC:A:1-139,A:302-334	1	7	3	8	0	18	11	12	1	172
gi|76800662|ref|YP_325670.1|_14-319_1ZJC:A:3-415	4	19	5	13	0	39	21	25	0	413
gi|76800664|ref|YP_325672.1|_4-208_1JG1:A:	4	9	4	6	0	25	16	10	0	215
gi|76800665|ref|YP_325673.1|_8-180_1JG1:A:	4	9	4	6	0	25	16	10	0	215
gi|76800669|ref|YP_325677.1|_5-144_1NXO:A:	0	5	0	5	0	10	7	4	0	119
gi|76800670|ref|YP_325678.1|_255-379_1PBJ:A:2-121	4	6	1	6	0	13	4	7	0	120
gi|76800671|ref|YP_325679.1|_3-255_1UIY:A:	1	9	3	12	0	25	13	10	0	253
gi|76800673|ref|YP_325681.1|_1-139_1MJH:A:	0	5	1	4	0	16	7	5	0	160
gi|76800674|ref|YP_325682.1|_3-166_1FF3:A:	2	8	3	5	0	24	18	10	0	211
gi|76800676|ref|YP_325684.1|_631-747_1WJG:A:	0	5	1	4	0	15	7	4	0	135
gi|76800676|ref|YP_325684.1|_491-624_1WJG:A:	0	5	1	4	0	15	7	4	0	135
gi|76800677|ref|YP_325685.1|_6-137_1WJG:A:	0	5	1	4	0	15	7	4	0	135
gi|76800679|ref|YP_325687.1|_14-135_1XM0:A:1-143	0	8	2	3	0	18	13	9	0	143
gi|76800680|ref|YP_325688.1|_61-161_1PLB:A:	0	9	1	0	0	18	10	5	0	97
gi|76800681|ref|YP_325689.1|_5-253_1JW9:B:	5	8	2	9	0	22	10	18	0	247
gi|76800682|ref|YP_325690.1|_8-266_1XNG:A:3-257	1	6	2	12	0	23	10	12	0	255
gi|76800683|ref|YP_325691.1|_1-140_1MJH:A:	0	5	1	4	0	16	7	5	0	160
gi|76800685|ref|YP_325693.1|_235-490_2CH7:B:225-529	0	0	1	4	0	2	1	4	0	308
gi|76800685|ref|YP_325693.1|_17-188_1OR4:A:	0	2	2	7	0	11	5	4	0	169
gi|76800686|ref|YP_325694.1|_1-130_1OI0:A:	0	9	0	2	0	14	8	5	0	121
gi|76800687|ref|YP_325695.1|_3-284_1N2Z:A:	4	10	3	10	0	27	17	13	0	245
gi|76800688|ref|YP_325696.1|_112-458_1IQ0:A:97-466	4	12	1	13	0	34	19	20	0	370
gi|76800688|ref|YP_325696.1|_461-580_1BS2:A:484-607	0	0	1	6	0	8	5	7	0	124
gi|76800688|ref|YP_325696.1|_6-98_1IQ0:A:1-96	0	4	0	4	0	9	7	6	0	96
gi|76800690|ref|YP_325698.1|_57-266_1TV8:A:	4	11	4	10	0	39	20	20	0	327
gi|76800691|ref|YP_325699.1|_98-230_3CTA:A:90-220	0	9	1	2	0	12	5	1	0	131
gi|76800691|ref|YP_325699.1|_31-92_3CTA:A:5-89	0	3	0	4	0	5	3	5	0	85
gi|76800692|ref|YP_325700.1|_13-238_1PVY:A:	2	7	3	10	0	21	7	14	0	219
gi|76800693|ref|YP_325701.1|_117-454_1F52:A:101-468	4	12	5	10	0	37	24	21	0	368
gi|76800693|ref|YP_325701.1|_17-114_1HTQ:A:1-100	2	5	1	2	0	15	6	3	0	100
gi|76800694|ref|YP_325702.1|_63-144_1RI7:A:85-170	0	4	0	2	0	8	5	5	0	86
gi|76800694|ref|YP_325702.1|_4-63_1I1G:A:2-61	0	0	1	3	0	5	4	4	0	60
gi|76800696|ref|YP_325704.1|_10-212_1KA9:H:	0	13	1	5	0	22	16	13	0	195
gi|76800697|ref|YP_325705.1|_7-181_1L9G:A:	0	6	4	8	0	21	12	7	0	191
gi|76800700|ref|YP_325708.1|_832-974_1YSR:A:299-446	0	7	1	4	0	11	6	6	0	148
gi|76800700|ref|YP_325708.1|_123-268_2K2N:A:31-200	1	5	1	4	0	22	14	6	0	170
gi|76800700|ref|YP_325708.1|_256-371_1V9Y:A:	2	5	3	3	0	10	6	6	0	113
